country,aircraft,fighter/interceptor,attack_aircraft,transport_aircraft_fleet,trainer_aircraft_fleet,helicopter_fleet,attack_helicopter_fleet,tank,afv/apc,self-propelled_artillery,towed_artillery,rocket_projector,navy_fleets,aircraft_carrier_fleet,submarine_fleet,destroyer_fleet,frigate_fleet,airport_totals,available_manpower,total_population,iso,continent
Namibia,30,6,0,3,14,7,2,7,410,0,50,4,8,0,0,0,0,112,582642,2533224,NAM,Africa
Netherlands,168,61,1,4,27,75,28,18,1546,57,160,0,63,0,4,0,6,29,7820960,17151228,NLD,Europe
New Zealand,48,0,0,7,13,22,0,0,200,0,24,0,11,0,0,0,2,123,2115989,4545627,NZL,Oceania
Nicaragua,19,0,0,5,1,14,0,104,265,0,654,163,30,0,0,0,0,147,3030436,6085213,NIC,North America
Nigeria,129,8,13,21,47,44,15,253,1789,25,339,36,75,0,0,0,0,54,77108499,203452505,NGA,Africa
North Korea,949,458,114,4,169,204,20,6045,10000,800,1000,2110,984,0,83,0,11,82,13045878,25381085,PRK,Asia
Norway,150,59,15,4,32,47,0,52,730,80,0,12,62,0,6,0,4,95,2170365,5372191,NOR,Europe
Oman,131,29,10,9,46,42,0,117,761,39,144,12,16,0,0,0,0,132,1764529,3494116,OMN,Asia
Pakistan,1372,356,90,49,513,346,56,2200,7330,429,1226,100,100,0,8,0,9,151,96344277,207862518,PAK,Asia
Panama,39,0,0,11,4,23,0,0,65,0,0,0,20,0,0,0,0,117,1759698,3800644,PAN,North America
Paraguay,33,0,0,6,15,11,0,13,63,0,108,0,40,0,0,0,0,799,3372366,7025763,PRY,South America
Peru,273,17,38,40,77,99,16,146,552,24,231,70,60,0,5,0,7,191,15352302,31331228,PER,South America
Philippines,171,0,19,23,24,97,0,7,513,0,286,0,103,0,0,0,2,247,51887757,105893381,PHL,Asia
Poland,457,91,0,49,104,176,30,1069,2547,547,0,180,87,0,3,0,2,126,18826137,38420687,POL,Europe
Portugal,90,24,0,11,18,23,0,133,756,18,61,0,41,0,2,0,5,64,4804949,10355493,PRT,Europe
Qatar,123,24,6,12,35,46,3,92,250,46,12,15,86,0,0,0,0,6,612164,2363569,QAT,Asia
Republic of the Congo,13,2,0,3,0,8,1,86,225,0,0,6,6,0,0,0,0,27,1938754,5062021,COG,Africa
