country,aircraft_strength,fighter/interceptor_strength,attack_aircraft_strength,transport_aircraft_fleet_strength,trainer_aircraft_fleet,helicopter_fleet_strength,attack_helicopter_fleet_strength,tank_strength,afv/apc_strength,self-propelled_artillery_strength,towed_artillery_strength,rocket_projector_strength,navy_fleet_strengths,aircraft_carrier_fleet_strength,submarine_fleet_strength,destroyer_fleet_strength,frigate_fleet_strength,defense_spending_budget,external_debt,airport_totals,oil_production,oil_consumption,proven_oil_reserves,available_manpower,total_population,total_square_land_area,total_coastline_coverage,total_waterway_coverage,total_border_coverage,iso
Panama,39,0,0,11,4,23,0,0,65,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,500000000.0,91530000000.0,117.0,,100000.0,,1759698.0,3800644.0,,2490.0,800.0,687.0,PAN
Peru,273,17,38,40,77,99,16,146,552,24.0,231.0,70.0,60.0,0.0,5.0,0.0,7.0,2560000000.0,66250000000.0,191.0,,210000.0,473000000.0,15352302.0,31331228.0,1285216.0,2414.0,8808.0,7062.0,PER
Poland,457,91,0,49,104,176,30,1069,2547,547.0,0.0,180.0,87.0,0.0,3.0,0.0,2.0,12000000000.0,241000000000.0,126.0,,585000.0,137800000.0,18826137.0,38420687.0,312685.0,440.0,3997.0,2845.0,POL
Portugal,90,24,0,11,18,23,0,133,756,18.0,61.0,0.0,41.0,0.0,2.0,0.0,5.0,3358000000.0,449000000000.0,64.0,,265000.0,,4804949.0,10355493.0,,1793.0,210.0,1224.0,PRT
Qatar,123,24,6,12,35,46,3,92,250,46.0,12.0,15.0,86.0,0.0,0.0,0.0,0.0,6000000000.0,167800000000.0,6.0,1500000.0,190000.0,25240000000.0,612164.0,2363569.0,,563.0,0.0,87.0,QAT
Republic of the Congo,13,2,0,3,0,8,1,86,225,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,715000000.0,4605000000.0,27.0,244200.0,185000.0,1600000000.0,1938754.0,5062021.0,342000.0,169.0,1120.0,5008.0,COG
Romania,143,26,0,12,41,62,0,943,1369,0.0,808.0,243.0,48.0,0.0,0.0,0.0,3.0,5050000000.0,95970000000.0,45.0,,240000.0,600000000.0,11007501.0,21457116.0,238391.0,225.0,1731.0,2844.0,ROU
Russia,4163,873,742,424,497,1522,531,12950,27038,6083.0,4465.0,3860.0,603.0,1.0,62.0,16.0,10.0,48000000000.0,539600000000.0,1218.0,10580000.0,3225000.0,80000000000.0,69640160.0,142122776.0,17098242.0,37653.0,"1,02,000",22408.0,RUS
Saudi Arabia,879,270,81,49,208,283,34,1062,12825,705.0,1818.0,122.0,55.0,0.0,0.0,0.0,3.0,67600000000.0,205100000000.0,214.0,10130000.0,4000000.0,266500000000.0,17703745.0,33091113.0,2149690.0,2640.0,0.0,4272.0,SAU
Sierra Leone,5,0,0,0,0,5,2,0,13,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,75500000.0,1615000000.0,8.0,,,,1432872.0,6312212.0,,402.0,800.0,1093.0,SLE
Slovenia,38,0,0,3,23,16,0,44,269,0.0,63.0,0.0,2.0,0.0,0.0,0.0,0.0,581000000.0,46300000000.0,16.0,,,,1002714.0,2102126.0,,47.0,0.0,1211.0,SVN
Somalia,0,0,0,0,0,0,0,10,100,0.0,30.0,10.0,3.0,0.0,0.0,0.0,0.0,62200000.0,5300000000.0,61.0,,,,2702167.0,11259029.0,637657.0,3025.0,0.0,2385.0,SOM
South Africa,226,17,0,23,88,91,12,195,2000,43.0,72.0,50.0,30.0,0.0,3.0,0.0,4.0,4278000000.0,156300000000.0,566.0,,605000.0,15000000.0,26250220.0,55380210.0,1219090.0,2798.0,0.0,5244.0,ZAF
Spain,512,137,12,46,162,162,19,327,2023,95.0,140.0,0.0,77.0,1.0,3.0,0.0,11.0,15100000000.0,2094000000000.0,150.0,,1226000.0,150000000.0,23136275.0,49331076.0,505370.0,4964.0,1000.0,1953.0,ESP
Sudan,190,46,38,22,11,73,43,690,400,10.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2470000000.0,56050000000.0,74.0,102300.0,,5000000000.0,24061430.0,43120843.0,1861484.0,853.0,1723.0,6819.0,SDN
Suriname,3,0,0,0,0,3,0,0,66,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,63000000.0,1700000000.0,55.0,,,83980000.0,132740.0,597927.0,163820.0,386.0,1200.0,1907.0,SUR
Sweden,204,71,0,6,69,53,0,126,1036,88.0,0.0,0.0,63.0,0.0,5.0,0.0,0.0,6326923600.0,939900000000.0,231.0,,320000.0,,4116808.0,10040995.0,450295.0,3218.0,2052.0,2211.0,SWE
Syria,456,199,20,5,67,165,27,4135,5370,575.0,2550.0,750.0,56.0,0.0,0.0,0.0,2.0,1800000000.0,4989000000.0,90.0,,260000.0,2500000000.0,12450728.0,19454263.0,185180.0,193.0,900.0,2363.0,SYR
Tanzania,34,14,0,6,8,6,0,156,70,0.0,12.0,0.0,19.0,0.0,0.0,0.0,0.0,223000000.0,17660000000.0,166.0,,,,10258498.0,55451343.0,947300.0,1424.0,0.0,4161.0,TZA
Thailand,570,75,19,48,154,307,7,841,1416,20.0,776.0,25.0,292.0,1.0,0.0,0.0,7.0,7100000000.0,132000000000.0,101.0,239700.0,1345000.0,396400000.0,35543014.0,68615858.0,513120.0,3219.0,4000.0,5673.0,THA
Tunisia,147,12,0,14,29,92,0,181,878,20.0,165.0,0.0,50.0,0.0,0.0,0.0,0.0,550000000.0,30190000000.0,29.0,,,425000000.0,5850224.0,11516189.0,163610.0,1148.0,0.0,1495.0,TUN
Turkey,1055,206,0,80,276,497,100,2622,8777,1278.0,1260.0,438.0,149.0,0.0,12.0,0.0,16.0,19000000000.0,452400000000.0,98.0,245000.0,845000.0,388500000.0,41847478.0,81257239.0,783562.0,7200.0,1200.0,2816.0,TUR
Turkmenistan,72,24,20,3,0,25,10,712,2000,68.0,269.0,116.0,4.0,0.0,0.0,0.0,0.0,200000000.0,539400000.0,26.0,230880.0,150000.0,600000000.0,2797493.0,5411012.0,488100.0,1768.0,1300.0,4158.0,TKM
Ukraine,297,48,25,32,76,121,34,2026,10135,738.0,2040.0,430.0,25.0,0.0,0.0,0.0,1.0,5400000000.0,130000000000.0,187.0,,325000.0,395000000.0,22195911.0,43952299.0,603550.0,2782.0,2150.0,5618.0,UKR
United Arab Emirates,538,98,20,40,145,229,30,434,8691,183.0,76.0,72.0,75.0,0.0,0.0,0.0,0.0,22755000000.0,237600000000.0,43.0,3174000.0,575000.0,97800000000.0,5820789.0,9701315.0,,1318.0,0.0,1066.0,ARE
United Kingdom,733,133,15,44,241,312,49,227,5000,89.0,126.0,35.0,88.0,2.0,10.0,6.0,13.0,55100000000.0,8126000000000.0,460.0,910500.0,1600000.0,2564000000.0,29948413.0,65105246.0,243610.0,12429.0,3200.0,443.0,GBR
United States,13264,2085,715,945,2643,5768,967,6289,39253,1465.0,2740.0,1366.0,490.0,20.0,66.0,91.0,0.0,750000000000.0,17910000000000.0,13513.0,9352000.0,20000000.0,36520000000.0,144872845.0,329256465.0,9826675.0,19924.0,41009.0,12048.0,USA
Uruguay,50,0,7,9,16,13,0,78,463,0.0,0.0,4.0,20.0,0.0,0.0,0.0,1.0,4950000000.0,28370000000.0,133.0,,,,1549878.0,3369299.0,176215.0,660.0,1600.0,1591.0,URY
Venezuela,260,38,0,52,82,86,10,390,600,73.0,104.0,36.0,49.0,0.0,2.0,0.0,4.0,745000000.0,100300000000.0,444.0,2007000.0,575000.0,300900000000.0,14260129.0,31689176.0,912050.0,2800.0,7100.0,5267.0,VEN
Vietnam,293,77,0,38,36,138,25,2615,2530,70.0,1000.0,85.0,65.0,0.0,6.0,0.0,9.0,5500000000.0,96580000000.0,45.0,271400.0,525000.0,4400000000.0,51043216.0,97040334.0,331210.0,3444.0,17702.0,4616.0,VNM
Yemen,169,77,0,8,21,61,14,620,615,20.0,85.0,150.0,30.0,0.0,0.0,0.0,0.0,1400000000.0,7068000000.0,57.0,,145000.0,3000000000.0,11266221.0,28667230.0,527968.0,1906.0,0.0,1601.0,YEM
